Course Doc 1,Course Doc 2,Course Doc 3,Course Doc 4,Course Doc 5,Professor Doc 1,Professor Doc 2,Professor Doc 3,Professor Doc 4,Professor Doc 5,Document Type 1,Document Type 2,Document Type 3,Document Type 4,Document Type 5,Document 1,Document 2,Document 3,Document 4,Document 5
ECE 2031,ECE 2035,ECE 2036,ECE 2031,ECE 3555,ProfA,ProfB,ProfC,ProfD,ProfE,Labs,Homework and Notes,Tests and Quizzes,Labs,Homework,https://drive.google.com/open?id=1sbIfAJcjDeL-RIgCWwP6hGX9Vcy1vs6B,https://drive.google.com/open?id=1dWqurkuM0O6ts8F6r2YB_Aba9Ce3yf2b,https://drive.google.com/open?id=11rR2lmc0PI-4rehbslcLEDkGzkb_TkK4,https://drive.google.com/open?id=1p9Agu2soa5IQWwezIb3LDhlnbhZRzcQ1,https://drive.google.com/open?id=1vmqlK802g-fMrRJwb-X2LkUSW3_eZ9s_
CS 1315,CS 1332,CS 2050,CS 3630,CS 1371,ProfA,ProfB,ProfC,ProfD,ProfE,Labs,Homework and Notes,Tests and Quizzes,Labs,Homework,https://drive.google.com/open?id=1DyrcMIu2Z1mkBFDnRFnsmh8plp5KQPXa,https://drive.google.com/open?id=1ABrUGaq4P_lqxjDxpiFQpQrIZHre-o_C,https://drive.google.com/open?id=18k8G1wyKGsIS7gV9aVDKVY8nFWbBH94G,https://drive.google.com/open?id=1NjDXh0zcWEijip4giSTxER-Ot-yt1CQ5,https://drive.google.com/open?id=1-_h10X0rvGcEDw0Rq9IMhACDStvbWB0-
AE 1350,AE 1601,AE 2010,AE 2020,AE 3012,ProfA,ProfB,ProfC,ProfD,ProfE,Labs,Homework and Notes,Tests and Quizzes,Labs,Homework,https://drive.google.com/open?id=1ndNpGGgHrUXtoREvOojYBUDcc1WrryP6,https://drive.google.com/open?id=1hgUcJhHCCNwYoFUaEauXMUo4WJmHbuqI,https://drive.google.com/open?id=1hdfV8f0Hi8hIMkJC2Vdy6i8T1KAHpKrx,https://drive.google.com/open?id=1g6j_6VwzqxosubnJt_5Lu5RTYqdNTh62,https://drive.google.com/open?id=1wyhCEvsWXXjI-s4guTyBrYeO9P9YpmFV
,,,,,,,,,,,,,,,https://drive.google.com/open?id=11HqG4fdb9nLFdTcPsES8CSh8Gpc2sm1c,https://drive.google.com/open?id=17iRpaYqoiHRlrdjLWKT6MdwgjBXCdLb3,https://drive.google.com/open?id=1aDVfaNXdtRkOQ0T76C6HiMRepfrQaMjo,https://drive.google.com/open?id=1DfgrYU_O2OjIANu-0XXZpNRPRIdqCARB,https://drive.google.com/open?id=1e_N7YIRu2bin6ipb4Ro41Vo9I8whlHaP
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1Jk6Qwzw-s6Xg6ZQqalW-HLnQFSFCsfu5,https://drive.google.com/open?id=1apvAxhU4MHhndMP20-4sYMde_GvGXkbP,https://drive.google.com/open?id=1KvyFpCXr8NSeK8dYWCMDrbvFc4d6g_5l,https://drive.google.com/open?id=1AavMfkgY4Tgcb0d2NJqR4BmWIQdh1ibP,https://drive.google.com/open?id=1UKEVsozDwtTW0VU1j7kDulaqziq1-H_0
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1NQn84qSdqXUrnSp8vWkL87yyNK5M9Fo3,https://drive.google.com/open?id=1d3apHEjlZCaaCbGLpy8YpVXLiVOe69mZ,https://drive.google.com/open?id=1Z5EmMJ1mk2Nw9pL3e-zePNNrORVd3llZ,https://drive.google.com/open?id=1t872q6jB0Sva3l0BPQmm9WuTGWFPTAmN,https://drive.google.com/open?id=1zjc9QB9rCdkxybpuGFXUJYJmQ49OkmUM
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1yqR1hQ6XEbFnPcwNpnRiy0Bse-WiDoD8,https://drive.google.com/open?id=10P9ocgqRwHi28vGk2emtpHviyS5s0oMI,https://drive.google.com/open?id=1vvcZJtNdFHYxmVq-G-3-fm35M39AGHBI,https://drive.google.com/open?id=1-zEVZMfdJ5Ml69YH6fr2eVE1wnyV5xxL,https://drive.google.com/open?id=1axqM8J7YVGEzEy7LggigX_x0-TouQ1J3
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1oAFJx91KItMWulIflvtZ2LJOcLt2Icnj,https://drive.google.com/open?id=1eiYrwpi2_4N-GYkFLgExe50_Pdj4vpwZ,https://drive.google.com/open?id=174iU0y0Ug4HxXkOP-tKmD6C_9q_KnzCl,https://drive.google.com/open?id=1ceg0HGKkG0gMoIBfeo-2x7pJMhqJciUI,https://drive.google.com/open?id=1qvvD5C2A59RlcZLKeXG5OwFF0Xg9dYvL
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1F6ZVqmFnSV2iASlVX8PX2sspFYDJ_PSK,https://drive.google.com/open?id=1iW9yJ3U6WzOBBAd-c0yIv-UsnQRzruSI,https://drive.google.com/open?id=1kjkub-kOUG3LGEgLiYQ_7ah637iv6IQw,https://drive.google.com/open?id=1Ic8ML48fGBhsBIK2ZXCqm28NFJZBet_S,https://drive.google.com/open?id=1Zhd-4fZwcCMt8XpeVVduwrml3UwsceA_
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1mDToeqZwkV9JuU_qYfDgYnWYBv_J0iAn,https://drive.google.com/open?id=15op5A86NGonVmFZaRE6uJnjwqNTb_aq2,https://drive.google.com/open?id=1cgMnCYSxVuUM1689bqzPsHmgrbgsmPQG,https://drive.google.com/open?id=1QEOtEmVjERIxarQXCmJqCpdP1Vt82APD,https://drive.google.com/open?id=15iHT_D_3A4XNzkWUCzzcXzema3XvOCG1
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1tCnfQndE7sV1Ep4aq7-lLFMr8E485YRw,https://drive.google.com/open?id=1oG94N48yHssq2lBlTTmIn9GtwrhdvtwK,https://drive.google.com/open?id=1eix5r4IfSzSeOvRbv75eCR5he9CmwsPm,https://drive.google.com/open?id=1U75YBPDDcfhU5JSZBTUpyekp-_lZYHjM,https://drive.google.com/open?id=1GA-grBeJeOyYQy9o7x1jf2yc7rKrAGY8
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1hy8AC4c_KIMVmC4n9l63gFSqYRsdo8Jl,https://drive.google.com/open?id=1dNiGkuptYMSQ1wOqIIUypZ5DLIbGD8zD,https://drive.google.com/open?id=1wCE_PD2Va7FGkorfOfv4eVEibNDwunF4,https://drive.google.com/open?id=1bgkMvqectQVVZcTnXMFZwvaHkcdGaTHK,https://drive.google.com/open?id=1VJpYyMv3So47GAeLnkp979l3lWmC2BC_
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1jmHjmXW614NMRnFtfLiuQuauN5YiOc9l,https://drive.google.com/open?id=1TUgdu_7lufnuseX10Dqu1PObUm7cJKFI,https://drive.google.com/open?id=1b4FuoFAJI8YF3ffKUSFexVqI7w1T6iJy,https://drive.google.com/open?id=1gw6XM7JG80hZokvdaI0CGazqCoS_AZn5,https://drive.google.com/open?id=1kKoBBowVdCiIstFvgO6xsWbU2SvGHIrC
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1XBomrnlKtvIchCMHG5B6XwboBTbY9W9L,https://drive.google.com/open?id=1N_HMQoZcjz-a3H2PGgrzKD-KYmQfUiNa,https://drive.google.com/open?id=1bkNTDDh3TSlTmurmVIM61oitGmIwFk7T,https://drive.google.com/open?id=1nZxoC5iVXPwTTKWQheT_XM1cOMwMBHda,https://drive.google.com/open?id=1tuAmVNtiK3Iw0RZYau3LQj7IEltuzzBS
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1OTztSzYk0npM5cALstW8IxUYHb8TqIyW,https://drive.google.com/open?id=1yH91Qs4XprwiFePQ9pRvcoP2nd59DMZZ,https://drive.google.com/open?id=1_HWQxeKqcoZXnwLC0OMlHobFUAHLwj19,https://drive.google.com/open?id=1AoHeKBKzBhZoNr7ydVRHyNC3KGf0KuKL,https://drive.google.com/open?id=1tHD95siYy2d3n7J4Brfn08AJ3BzGQaW-
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1LBL9zbgRwXIW7pNMOcQjudAu0DGwz7_r,https://drive.google.com/open?id=1X3ahbvrGVXzMaXjRbc-OSLIMya-H4qyA,https://drive.google.com/open?id=1LsBbYQo2QRQIZwPL4APabViKNIsykuJ0,https://drive.google.com/open?id=1jPfxTcpE9U-J9LDq_gKGVbeeFT6Fh1Fz,https://drive.google.com/open?id=1s_qEE8c5ImWD5P664OxhTMKopYlHZZR1
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1vWrxu2cLnSv5TDjS0jcBzUn7m47UTljd,https://drive.google.com/open?id=1XICOXy3Y1t7hqBVTZH0VwMRyXuG1RnpM,https://drive.google.com/open?id=1iyE7ASNMPpBMP93aa-zEF8vVaqedoTQ0,https://drive.google.com/open?id=11QQO1IwlbrvMbp1_jTQz8GHC9GSsffoI,https://drive.google.com/open?id=1zXzS8OrOlo2Eje7jc7RT8EVO33Nb9vAl
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1l_KBG9OL5K8l2DL7FoZh2PlQYK4C6pGy,https://drive.google.com/open?id=1uSRL4efwbfp9mDToOYRD5HX52RamSDAY,https://drive.google.com/open?id=1r8OewJkCNCGPzCKgi8raTofiZhhpOpms,https://drive.google.com/open?id=1VZfFefkZTGD1w9XeCyBV4Td61Jh0eUj7,https://drive.google.com/open?id=1RTjI8hZ5Om_2csplhFnvI3H2HTutx20O
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1NIV-iQRIIW0YO7ruY4s7HiepfvpLeLYp,https://drive.google.com/open?id=1hUL7-VuqhpZyxjI1hohgKFbFW_rXMHF_,https://drive.google.com/open?id=1QMXuCh4ImLsXBOwstbfgyr8srHze_5Pd,https://drive.google.com/open?id=10rm30gMGg9aF3bV2zoR0k5Hi-51k_mqD,https://drive.google.com/open?id=1s_HDF5YK6R4FWMxAKeM1CKvz-dJM_B2P
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1CF37FuTvpe80FdOYq5gpCjTghgEVfdkp,https://drive.google.com/open?id=1ukWCM1B_dqwKA_DuAURfh1TXCWUWZrFu,https://drive.google.com/open?id=1ElgdY0xaN7lAkgWDWmotugAxWiA0QKsc,https://drive.google.com/open?id=1TCVY6DTpmtaxQH6duGcGAkrxa-j_wqVo,https://drive.google.com/open?id=1LXUKcEWQYjWz0z6vJOPpE43CZekKYy0s
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1LPSt9rt0WQhnn5ERhh76oI7MJGoFY0tn,https://drive.google.com/open?id=147E9qmzz8iXA_sdJxP8yF_Lq9bfoS1Vb,https://drive.google.com/open?id=1KxYgGYnh7_PSkw_RqiRrm6iFvQkkUtvO,https://drive.google.com/open?id=1qOp0UWy-hzifrDhb76iHScYnuSS2FSJu,https://drive.google.com/open?id=1ZK4VLag06ULZBbvq4TouycM8TcpcKYI5
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1T5NAhR9j_8b1hiHobpWuKC_Kc6oryRu2,https://drive.google.com/open?id=1bdKxrpcYxQw9hlSmv6ppMihRzwtJlkOG,https://drive.google.com/open?id=1ixhu2ee69wU0JGmqoIkb9sU52yfoT-tM,https://drive.google.com/open?id=11uZSxygqJ5RuwiGt_gg3iXqdNBqz9b5s,https://drive.google.com/open?id=1MFM1qBmbhUJPlNAu_rh_VBQnJQb5Owh1
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1MAnxOwZUPix5qa4AkADBiV8CGX6QxhRC,https://drive.google.com/open?id=1TnYueXl98L3yDkv2_aaVoz5L6QTl1c5Q,https://drive.google.com/open?id=1CyXldS1jdQRLq_jlva14h_Gfhd0IFu0z,https://drive.google.com/open?id=1VwdmmGzO48-sEP54VwhrZkLUDJZUEhb7,https://drive.google.com/open?id=1HnRO60tiV7p8JZL3EFQBqqiPlCQvByrR
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1zKfhXo5l3sHOGUTm3lJ6DWSP_TihkOl5,https://drive.google.com/open?id=1ytzeWTSdmlwr9fA0NWX6HptDbyB08EaK,https://drive.google.com/open?id=1D8oyDvyERZAZHypxG2xSkgtyxBgoGSxj,https://drive.google.com/open?id=1I5XMQwpCJtACxl9dFVBg5ZRkX7EqEtQ0,https://drive.google.com/open?id=1Wv1QNrRSZ0fC4ykvidr1EHHnDbc6QIGG
,,,,,,,,,,,,,,,https://drive.google.com/open?id=17bkTbffNNEQ_5Qz_MN3AV-A94mZC7Yw26rVQOEV9izY,https://drive.google.com/open?id=1qg5C5tk4poKHrjUiqooVel-BDXHWEtRH,https://drive.google.com/open?id=1G8RlZDFUpGtyJUP6-TxpnZJxsF6m4QKm,https://drive.google.com/open?id=1ozBfTLZTsAj6t3jdjyBGo0Y_wFj1lIE6,https://drive.google.com/open?id=1q-PClYvODMF6b_W09IDcZFs1fOivLo4T
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1c8SbWnokGSud-pLUjNSo570r5qOeuOpa,https://drive.google.com/open?id=1nZnQ1agAsFJYzvoeLTiBwns07P2BQp82,https://drive.google.com/open?id=1IGhXCs3hkWUKoQFdSBz5ePM5kAp4ZH3D,https://drive.google.com/open?id=1Yev4Ab3vMPD4rMi07ZahT4aSD9tJVHIr,https://drive.google.com/open?id=1xAj1kf_7QZV6_XEAy4gFPcoA7vmJMi10
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1mzlakOtQH2RRmNihGmrZqA5NXv35ICgD,https://drive.google.com/open?id=1C5PpOLBYMqOmAVDCG53X-BMz8EUfLdnb,https://drive.google.com/open?id=1rgu06tjPZqSP9ZmZrpNvSVkomuMVrRAK,https://drive.google.com/open?id=1wiywrQqzeXs7rN-ZrybA7vpdALNK_XqF,https://drive.google.com/open?id=1l6rbiWSoIIIlzXMXuT3kJdfKMsMIRjH6
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1T1wUG8lKYO1pWaMTVBgSRfre9gMI2zG-,https://drive.google.com/open?id=1xlcTK9v6skFiuY7dyxRWk7Ms80uX7Iex,https://drive.google.com/open?id=1LH9VSNaJDPzIgIS7afjjqIRQx79ZB1IE,https://drive.google.com/open?id=1CXOaf-yEOaKELEa-V04JW90xCjd2pxAW,https://drive.google.com/open?id=1jfXBH8Fh2SH_W1kaGIl_s8af4VU7ZH3e
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1d37wL-LV6ghntSVNEGjnbptWeOFrZapJ,https://drive.google.com/open?id=1gVCK5FscZrWKCe8MLaHnCLkj2QDN9V6j,https://drive.google.com/open?id=1ENoi7-fP34mWKAqFCf8UHRdijZq2jqtG,https://drive.google.com/open?id=1VYCmIv3xPnfdrPZq25ena4ldP-sewA6T,https://drive.google.com/open?id=10WzCU8DRL5JkpnDM8v2jhYOyyojzKY0r
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1wgc70WZY3R8Sk3guAykNmQ6xA8x6GKWT,https://drive.google.com/open?id=1iNozgBDvjiQE7m7hf2TxJ7qPEkzwBP8U,https://drive.google.com/open?id=1lBvx895OUJcrI7o6QUpUmu3G5pA6EL9f,https://drive.google.com/open?id=1gXp18wa4lzvldD88nMqpnoYn8Puqz4K8,https://drive.google.com/open?id=1AutMtFgTqMl3gqIGwv7kiUQ_YI3Y1wS_
,,,,,,,,,,,,,,,https://drive.google.com/open?id=14xQQFNwNGaK7fjorYCJnjciD6aZhrYg2,https://drive.google.com/open?id=14DBpKzzFVRd2MPjXGnQwZRko7KIVVPiZ,https://drive.google.com/open?id=1PcEzPeD3nvfXOjYZEQdHCD30QrGrBV3T,https://drive.google.com/open?id=1frNXeA1JtOL7Cg57vE18fhbu7RFFEj6F,https://drive.google.com/open?id=1_y9uQQuYSwxXTepQtlrDHZ4PoCrVgEHf
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1LWb7rMg6N6K4-HtDAroQxEiYN_TnTx-B,https://drive.google.com/open?id=1VqDFeDIXMmfm49nnB3PJ9SDPgyEaU9U1,https://drive.google.com/open?id=11b_Q_MW9eyU7FXBmaMC4mVKCbuTbVDuw,https://drive.google.com/open?id=1eZPlbOEqTG3Q7IeKgTr5J_96w9jVbLTF,https://drive.google.com/open?id=1S8UEy3p5F0bIA6MYveWJsZc7ubpREMAT
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1DbOmiFfP36sNbh8Ie5RtGURNmDEf1nSb,https://drive.google.com/open?id=18oqm2-GcSWQPr-37dpqCMgr2O53t4lXp,https://drive.google.com/open?id=1nQyzJ1gGOTZo3qMgbN8oC3dO_j17nvJT,https://drive.google.com/open?id=1h8fqd3o4fqRNjveKu3JQqIFdArr8Lf8f,https://drive.google.com/open?id=15QMceDfnWRI3rjxN-NNktbuKkg1CISKA
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1EMM0H_yLXnqxwoUxYzCaTKITtr2spMU0,https://drive.google.com/open?id=1_PNqP7U6qWp4LKOUhsisFW04jvR27pD_,https://drive.google.com/open?id=1rfIJBu4KboaX9-gPOVVNK5yoYE_HoPJb,https://drive.google.com/open?id=1zKIh7r0SVu9KgORwvdpOdhdgrmV5dHNf,https://drive.google.com/open?id=1Pj3ScJ87zlzXfVeFREVGQux9iu3AaaKj
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1vsn54rpktoQ4NG8Ijc-t8dLMei0AAGyT,https://drive.google.com/open?id=1fqCmjJb5QcOBG2o116XrGtAlEOCzDIVh,https://drive.google.com/open?id=1Sx61GsoxZL1y5PD90CrkIa_BCPsUj114,https://drive.google.com/open?id=1dmBQNRWQYET4GiieVv6sXjtKLhgwbHsR,https://drive.google.com/open?id=1jMahwqTZXC2j-80U0jj0xjAfyIdUZqxC
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1dPvXZdoSwL2X4gAqtK5xqxWha0_kt6tj,https://drive.google.com/open?id=16P1BC1hfO_Uff3qiIWmz0-YHlqQXG8d5,https://drive.google.com/open?id=1VmNB7-2tDCHCynKIuEzAr86vwn2y2w89,https://drive.google.com/open?id=1wkcbi3MlQAVstoMTBBoYJAuE7GNXZcpC,https://drive.google.com/open?id=1l9hDSh0zagKQrUupm30yeTmTMvRS7Ruh
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1ZfF4NrF0G7wq4h62pyjbIqsnDZgYIm4j,https://drive.google.com/open?id=1VqWGCdk5T3VFGfJmJ2wqebul_HTUvNtM,https://drive.google.com/open?id=1Kg6n86_wiciyDMGZKyJjC406-c191CkL,https://drive.google.com/open?id=12r1gb6McYO-_bPALPq7QvfOsV-QrXENw,https://drive.google.com/open?id=1OCyHvcWKyMprchdUP4GS3g9TfO47KOO0
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1iK_IZNhXlbgVYViUMLl4qUHaYDY4dZos,https://drive.google.com/open?id=1APJmYp34vmOMjbHzNgaJC4xhCRnQGu2-,https://drive.google.com/open?id=1oZYqhG2zDy-hXlXNKZ1zfE8n-o7bEI_Z,https://drive.google.com/open?id=1nWozGlRCnEg8MR6f5sNZC8Z9KqYVvlYb,https://drive.google.com/open?id=1vmExhpwUafIXu8Mmh5Ng_fGtzusXoWiV
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1oXNXjJXsbDeLXE0ChCqQaNbH76k3lVs6,https://drive.google.com/open?id=1_ioeIdnETnYmlkRNuc-PwfasOZmH-HhU,https://drive.google.com/open?id=1oTFfbykb5eehHOfkx-cZYClcQTXNaBaR,https://drive.google.com/open?id=1HPc5SrGo8ZYaTFJ_IRGb0jjOZpMtOHHU,https://drive.google.com/open?id=1V5znKwW3P9Eipjf0w7EyDFCedxgqEZZY
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1N8W3WGRnO5YH_TwfQzdm5YEW9GUFUD4t,https://drive.google.com/open?id=1Y7G2N-CuyWXB79XfTeDs43rLCufafYYb,https://drive.google.com/open?id=15Z9o5XLVdL7hFwVBon5Kxn7CkgTR8fLB,https://drive.google.com/open?id=1_w3hxRZHnkQdReniy1H_r5qE9Urdm7_1,
,,,,,,,,,,,,,,,https://drive.google.com/open?id=1jWuU5kx1cNZIT-40Jn7qteA0lqAbdLqt,https://drive.google.com/open?id=1deHVcgMlHWRErwA5ZfLF_RN80tbm93JO,https://drive.google.com/open?id=1SXwH7HBdsg1An2gX_LmCCuXrqqblOn7n,https://drive.google.com/open?id=1QSmTMDEO2jSr8o_8j080evouk2TqmJSq,